Date,Service,Description,Cost,
2025-11-15,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,0.00,
2025-11-16,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,0.00,
2025-11-17,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,0.00,
2025-11-18,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,0.00,
2025-11-19,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,0.00,
2025-11-20,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,0.00,
2025-11-21,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,0.00,
2025-11-22,RDS,GB-month of provisioned GP3 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server,0.00,
2025-11-01,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,0.00,
2025-11-02,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,0.00,
2025-11-03,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,0.00,
2025-11-04,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,0.00,
2025-11-05,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,0.00,
2025-11-06,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,0.00,
2025-11-07,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,0.00,
2025-11-08,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,0.00,
2025-11-09,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,0.00,
2025-11-10,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,0.00,
2025-11-11,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,0.00,
2025-11-12,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,0.00,
2025-11-13,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,0.00,
2025-11-14,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,0.00,
2025-11-15,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,0.00,
2025-11-16,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,0.00,
2025-11-17,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,0.38,
2025-11-18,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,1.14,
2025-11-19,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,1.14,
2025-11-20,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,1.14,
2025-11-21,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,1.14,
2025-11-22,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,1.14,
2025-11-01,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-02,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-03,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-04,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-05,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-06,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-07,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-08,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-09,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-10,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-11,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-12,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-13,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-14,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-15,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-16,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-17,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-18,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-19,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-20,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-21,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.47,
2025-11-22,RDS,Additional GB-month of backup storage exceeding free allocation running SQL Server,0.00,
2025-11-01,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-02,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-03,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-04,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-05,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-06,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-07,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-08,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-09,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-10,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-11,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-12,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-13,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-14,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-15,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-16,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-17,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-18,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-19,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-20,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-21,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-22,RDS,GB - first 10 TB / month data transfer out beyond the global free tier,0.00,
2025-11-01,EC2,On Demand Linux t2.large Instance Hour,35.94,
2025-11-02,EC2,On Demand Linux t2.large Instance Hour,35.94,
2025-11-03,EC2,On Demand Linux t2.large Instance Hour,35.94,
2025-11-04,EC2,On Demand Linux t2.large Instance Hour,35.94,
2025-11-05,EC2,On Demand Linux t2.large Instance Hour,35.94,
2025-11-06,EC2,On Demand Linux t2.large Instance Hour,35.94,
2025-11-07,EC2,On Demand Linux t2.large Instance Hour,35.94,
2025-11-08,EC2,On Demand Linux t2.large Instance Hour,35.94,
2025-11-09,EC2,On Demand Linux t2.large Instance Hour,35.94,
2025-11-10,EC2,On Demand Linux t2.large Instance Hour,35.94,
2025-11-11,EC2,On Demand Linux t2.large Instance Hour,33.48,
2025-11-12,EC2,On Demand Linux t2.large Instance Hour,33.18,
2025-11-13,EC2,On Demand Linux t2.large Instance Hour,33.18,
2025-11-14,EC2,On Demand Linux t2.large Instance Hour,33.18,
2025-11-15,EC2,On Demand Linux t2.large Instance Hour,33.18,
2025-11-16,EC2,On Demand Linux t2.large Instance Hour,33.18,
2025-11-17,EC2,On Demand Linux t2.large Instance Hour,33.18,
2025-11-18,EC2,On Demand Linux t2.large Instance Hour,33.18,
2025-11-19,EC2,On Demand Linux t2.large Instance Hour,33.10,
2025-11-20,EC2,On Demand Linux t2.large Instance Hour,33.15,
2025-11-21,EC2,On Demand Linux t2.large Instance Hour,33.18,
2025-11-22,EC2,On Demand Linux t2.large Instance Hour,33.18,
2025-11-01,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-02,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-03,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-04,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-05,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-06,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-07,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-08,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-09,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-10,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-11,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-12,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-13,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-14,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-15,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-16,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-17,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-18,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-19,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-20,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-21,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-22,EC2,On Demand Windows m5a.xlarge Instance Hour,28.51,
2025-11-01,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
2025-11-02,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
2025-11-03,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
2025-11-04,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
2025-11-05,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
2025-11-06,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
2025-11-07,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
2025-11-08,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
2025-11-09,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
2025-11-10,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
2025-11-11,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
2025-11-12,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
2025-11-13,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
2025-11-14,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
2025-11-15,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
2025-11-16,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
2025-11-17,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
2025-11-18,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.57,
2025-11-19,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
2025-11-20,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.79,
2025-11-21,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.80,
2025-11-22,EC2,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
2025-11-01,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),19.72,
2025-11-02,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),19.72,
2025-11-03,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),19.72,
2025-11-04,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),19.72,
2025-11-05,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),19.72,
2025-11-06,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),19.72,
2025-11-07,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),19.72,
2025-11-08,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),20.06,
2025-11-09,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),20.17,
2025-11-10,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),20.17,
